"id";"ss";"seite";"autor_vorname";"autor_nachname";"titel";"verlag";"ort";"jahr";"verlag_2";"ort_2";"jahr_2";"weitere";"volltext";"status"
74954;0;145;"Anna Louise";"Strong";"China-Reise";"Neuer dt. Verl.";"Berlin";"1928";;;;;"Strong, Anna Louise: China-Reise. Berlin: Neuer dt. Verl. 1928.";"parsed"
74955;0;145;"Pitt";"Strong";"Tom Shark, der König der Detektive. Bd 24: Die Eidechsenhaut";"Freya";"Dresden";"1929";;;;;"Strong, Pitt: Tom Shark, der König der Detektive. Bd 24: Die Eidechsenhaut. Dresden: Freya 1929.";"parsed"
74953;0;145;"Heinrich";"Strohm";"Am Leben zerbrochen";"Koezle";"Wernigerode";"1929";;;;;"Strohm, Heinrich: Am Leben zerbrochen. Wernigerode: Koezle 1929.";"parsed"
74952;0;145;"Heinz";"Stroh";"Sämtliche Schriften";;;;;;;;"Stroh, Heinz: Sämtliche Schriften.";"parsed"
74951;0;145;"Heinrich";"Stroebel";"Steuerschande u. Wirtschaftsbetrug";"»Das andere Deutschland«";"Hagen";"1926";;;;;"Stroebel, Heinrich: Steuerschande u. Wirtschaftsbetrug. Hagen: »Das andere Deutschland« 1926.";"parsed"
74950;0;145;"Heinrich";"Stroebel";"Die deutsche Revolution";"Der Firn";"Berlin";"1920";;;;;"Stroebel, Heinrich: Die deutsche Revolution. Berlin: Der Firn 1920.";"parsed"
74948;0;145;"Paul";"Stritter";"Das schwachsinnige Kind";"Überreich";"Hamburg";"1927";;;;;"Stritter, Paul: Das schwachsinnige Kind. Hamburg: Überreich 1927.";"parsed"
74949;0;145;"Heinrich";"Stroebel";"Die erste Milliarde der zweiten Billion";"Cassirer";"Berlin";"1919";;;;;"Stroebel, Heinrich: Die erste Milliarde der zweiten Billion. Berlin: Cassirer 1919.";"parsed"
74947;0;145;"Alfred";"Striemer";"Zur Kritik der freien Wirtschaft";"Vorwärts";"Berlin";"1919";;;;;"Striemer, Alfred: Zur Kritik der freien Wirtschaft. Berlin: Vorwärts 1919.";"parsed"
74946;0;145;;;"Strick-Wochenzeitweiser";"Ludendorff-Verl.";" München";" 1932";;;;;"Strick-Wochenzeitweiser. München: Ludendorff-Verl. 1932.";"parsed"
74945;0;145;;;"Streiksignal und Streikverrat";"Fortschritt";" Erfurt";" 1932";;;;;"Streiksignal und Streikverrat. Erfurt: Fortschritt 1932.";"parsed"
74944;0;145;;;"Streik, Der ~ der Berliner Verkehrsarbeiter";"Westdt. Buchdruckwerkstätten";" Düsseldorf";" 1932";;;;;"Streik, Der ~ der Berliner Verkehrsarbeiter. Düsseldorf: Westdt. Buchdruckwerkstätten 1932.";"parsed"
74943;1;145;;;"Streik, Der ~ in England und die Arbeiterklasse der Sowjet-Union";"Rote Gewerkschafts-Internationale";" Moskau";" 1926";;;;;"Streik, Der ~ in England und die Arbeiterklasse der Sowjet-Union. Moskau: Rote Gewerkschafts-Internationale 1926.";"parsed"
74942;0;145;;;"Streik, Der ~ der englischen Bergarbeiter und die internationale Arbeiterhilfe";"Internat. Arbeiterhilfe";" Berlin";" 1926";;;;;"Streik, Der ~ der englischen Bergarbeiter und die internationale Arbeiterhilfe. Berlin: Internat. Arbeiterhilfe 1926.";"parsed"
74940;0;145;"Emil";"Strauss";"Die Entstehung der Tschechoslowakischen Republik";"Orbis-Verl.";"Prag";"1934";;;;;"Strauss, Emil: Die Entstehung der Tschechoslowakischen Republik. Prag: Orbis-Verl. 1934.";"parsed"
74941;0;145;"Curt von";"Strehla";"Feodora-Alexandra";"Freya";"Dresden";"1927";;;;;"Strehla, Curt von: Feodora-Alexandra. Dresden: Freya 1927.";"parsed"
74939;0;143;"Oskar";"Stillich";"Der Friedensvertrag von Versailles im Spiegel deutscher Kriegsziele";"Wachsen";"Berlin";"1922";;;;;"Stillich, Oskar: Der Friedensvertrag von Versailles im Spiegel deutscher Kriegsziele. Berlin: Wachsen 1922.";"parsed"
